Question,Label
How does Northwestern University handle cost allowability for sponsored charges according to federal principles?,1
Who has the authority and responsibility for approving expenses at Northwestern University?,1
"What procedures are established for the timely submission, authorization, review, and approval of transactions at Northwestern University?",1
Which departments are responsible for reviewing expenses for reasonableness and consistency with Northwestern University policy?,1
What are the specific timing requirements for reimbursement requests related to travel and non-travel expenses at Northwestern University?,1
"What types of expenses require documentary evidence, such as receipts, according to Northwestern University Policy?",1
"Under Northwestern University Policy, what costs are considered unallowable on a sponsored program as direct costs?",1
"What are examples of non-reimbursable travel expenditures at Northwestern University, regardless of the funding source?",1
"According to Northwestern University Policy, when are reimbursements to individuals for travel expenses typically processed?",1
What are the Northwestern University's policies regarding reimbursement of personal grooming expenses such as haircuts and laundry services?,1
Under what circumstances are faculty and staff covered by Northwestern University's blanket accidental death and dismemberment insurance while traveling on University business?,1
Is reimbursement of travel expenses for spouses or dependents allowed according to Northwestern University's policies?,1
What are the per diem requirements for meals and incidental expenses during authorized business travel according to Northwestern University's policies?,1
"What are the specific guidelines regarding transportation expenses, particularly airfares and airline fees, as outlined in Northwestern University's policy?",1
What are the criteria for selecting Business Class flights at Northwestern University?,1
Are premium fares allowed to be charged to sponsored programs at Northwestern University?,1
What are the guidelines regarding the use of Foreign Air Carriers on non-sponsored funds at Northwestern University?,1
What are the reimbursement policies for incidental costs associated with commercial rental vehicles at Northwestern University?,1
Under what circumstances is the use of private aircraft for University business allowed at Northwestern University?,1
What expenses related to repairs to a vehicle are reimbursable under Northwestern University policy?,1
"When are inter-campus and in-town travel expenses generally not reimbursable, according to the policy?",1
What are the guidelines for lodging expenses reimbursement for travelers under Northwestern University policy?,1
How are expenses for meals while traveling handled under Northwestern University policy?,1
Under what circumstances can non-University personnel be reimbursed for travel expenses according to the policy?,1
What are the guidelines for hosting annual holiday parties at Northwestern University?,1
What is the maximum allowable reimbursement for in-town meals involving non-University personnel and University employees for legitimate business purposes?,1
Under what circumstances may University funds not be used for events at Northwestern University?,1
What are the reimbursement standards for dinners hosted by faculty or staff members for University guests at Northwestern University?,1
How should events that do not have a specific University business objective purpose be funded according to Northwestern University policy?,1
What types of expenses are reimbursable for approved business and entertainment services at Northwestern University?,1
What are the guidelines regarding the service of alcohol at University events?,1
Under what circumstances can Deans and Vice Presidents extend courtesy and sympathy as per Northwestern University Policy?,1
"What is the general stance on club memberships at Northwestern University, and who has the authority to approve exceptions?",1
What are the consequences stated for violating the Northwestern University policy on expenses?,1
What is the purpose of Northwestern University's Video Recording and Surveillance Policy?,1
Who does the policy apply to at Northwestern University?,1
What are the general principles outlined in the policy regarding video recording and surveillance?,1
How does the University Police Department contribute to public safety through video recording and surveillance?,1
How does the policy ensure that video recording of public areas is conducted ethically and legally at the university?,1
What is the deadline for bringing all existing uses of video recording and surveillance into compliance with the Northwestern University Policy?,1
Who is responsible for overseeing and coordinating the use of video recording for safety and security purposes at the University according to the policy?,1
What is the role of the Chief of the University Police Department in authorizing video recording for safety and security purposes at the University?,1
What process must units follow if they are considering purchasing and installing video equipment according to the policy?,1
"Who is responsible for reviewing all requests to release video recordings, as stated in the Northwestern University Policy?",1
What are the guidelines for view restrictions in Northwestern University's residential housing facilities? ,1
How is digital media stored and managed by the University Police Department at Northwestern University? ,1
What legitimate safety and security purposes are listed for video recording of public areas at Northwestern University? ,1
Where is digital media stored and who has access to it according to Northwestern University's policy? ,1
How does the University Police Department handle digital media storage in response to criminal investigations or legal proceedings?,1
What is the effective date of the INTERIM POLICY ON TITLE IX SEXUAL HARASSMENT related to Northwestern University?,1
Who are the approving University Officials for this policy at Northwestern University?,1
Can you explain the purpose of the INTERIM POLICY ON TITLE IX SEXUAL HARASSMENT at Northwestern University?,1
What are the definitions provided in the policy that relate to Consent and Prohibited Conduct at Northwestern University?,1
What are the reporting options and obligations mentioned in the policy regarding Title IX Sexual Harassment at Northwestern University?,1
What are the potential consequences following a finding of a policy violation at Northwestern University?,1
What sanctions are outlined in the Northwestern University policy for violations?,1
What remedies are available under the Northwestern University policy for addressing policy violations?,1
What related information is provided in the policy regarding University policies and procedures?,1
Can you explain the Title IX Sexual Harassment Complaint Resolution Process at Northwestern University?,1
What is the process of offering supportive measures at Northwestern University?,1
How does Northwestern University handle formal complaints?,1
What are the steps involved in the investigation process at Northwestern University?,1
How are hearings conducted at Northwestern University?,1
Can individuals participate in the investigative process at Northwestern University?,1
What is the process for determining responsibility according to Northwestern University Policy? ,1
How are sanctions and remedies handled according to Northwestern University Policy?,1
What is the protocol for a written decision under Northwestern University Policy?,1
How does the appeals process work within Northwestern University Policy?,1
"What are the available resources for confidential support, advocacy, and counseling according to Northwestern University Policy?",1
What are the three categories of misconduct on the basis of sex defined under Title IX by Northwestern University Policy?,1
To whom does the policy on Sexual Harassment under Title IX apply at Northwestern University?,1
What types of conduct fall outside the purview of the policy on Sexual Harassment under Title IX at Northwestern University?,1
How does Northwestern University define the jurisdiction of its policy on Title IX Sexual Harassment?,1
"Who can individuals impacted by any form of sexual misconduct contact at Northwestern University to receive support, resources, and information?",1
"What is the purpose of Northwestern University's Policy on Discrimination, Harassment, and Sexual Misconduct?",1
How can individuals impacted by Title IX Sexual Harassment seek support from the Office of Civil Rights and Title IX Compliance?,1
What does Northwestern University emphasize in terms of interpersonal relationships and interactions in its policy?,1
How is the Office of Civil Rights and Title IX Compliance at Northwestern University ensuring accessibility for all members of the community?,1
Why is consent considered a cornerstone in respectful and healthy intimate relationships according to Northwestern University's policy?,1
What are the responsibilities of the Office of Civil Rights and Title IX Compliance at Northwestern University?,1
be found related to Northwestern University Policy?,1
What factors may contribute to an individual lacking the capacity to give consent for sexual activity?,1
How does the concept of incapacitation due to drugs or alcohol consumption impact the ability to provide consent for sexual activity at Northwestern University?,1
What indicators of incapacitation due to drugs or alcohol consumption are considered at Northwestern University in determining consent for sexual activity?,1
What criteria must be met for consent to be considered valid according to Northwestern University's policy on sexual misconduct?,1
"How does Northwestern University define the concept of ""consent"" in the context of sexual or intimate contact?",1
What are the elements of consent that must be present according to Northwestern University's policy on sexual misconduct?,1
"According to the policy outlined, what actions or behaviors do not constitute valid consent for engaging in sexual activity?",1
"Which types of sexual misconduct are prohibited by Northwestern University, and how are they defined within the institution's policy framework?",1
What constitutes Title IX Sexual Harassment according to the Northwestern University Policy?,1
How does the policy define Title IX Sexual Assault and what offenses are included?,1
What is the definition of Title IX Dating Violence according to the policy?,1
Can you explain the criteria used to determine the existence of a dating relationship in the context of Title IX Dating Violence?,1
How does the policy define Title IX Domestic Violence and what does it encompass?,1
What types of crimes of violence are covered under Northwestern University Policy related to intimate partner relationships?,1
"How does Northwestern University define ""stalking"" under Title IX guidelines?",1
Who is referred to as the Complainant under Northwestern University Policy regarding Title IX Sexual Harassment?,1
"What are Supportive Measures in the context of Northwestern University Policy, and how are they implemented?",1
What are some examples of Supportive Measures that may be offered to individuals involved in a Title IX Sexual Harassment case at Northwestern University?,1
What actions can the Office of Civil Rights and Title IX Compliance take regarding Supportive Measures?  ,1
"How does the document define a ""Formal Complaint""?  ",1
What options does the University provide for reporting Title IX Sexual Harassment?  ,1
What rights do members of the University community have when it comes to reporting incidents of Title IX Sexual Harassment?  ,1
Where can individuals find information about reporting options and procedures for incidents not covered by the Title IX policy?,1
What are the available methods for reporting Title IX Sexual Harassment at Northwestern University?,1
Is there a time limit for reporting incidents of Title IX Sexual Harassment at Northwestern University?,1
What are the options provided to individuals who wish to speak to someone confidentially without making a report to the University?,1
How does the University address Title IX Sexual Harassment reported by anonymous sources?,1
Who can individuals contact at Northwestern University for assistance and information regarding Title IX Sexual Harassment issues?,1
What options does Northwestern University provide for requesting a protective order or no-contact directive in cases of sexual violence incidents?,1
How does Northwestern University support individuals in requesting Supportive Measures without filing a Formal Complaint?,1
What role does the Office of Civil Rights and Title IX Compliance play in assisting individuals to contact local and campus law enforcement?,1
What resources and support services are available to individuals who report incidents of sexual violence to the Northwestern University Police Department?,1
What are the reporting procedures and obligations of University Police employees regarding Title IX Sexual Harassment incidents?,1
What are the reporting obligations related to sexual misconduct for all University employees and graduate students with teaching or supervisory authority according to the policy?,1
"Who should incidents involving minors, specifically incidents of sexual misconduct, be reported to as per the Northwestern University Policy?",1
Under what circumstances can a student respondent be removed from the University's Education Programs and Activities on an emergency basis according to the policy?,1
What steps must be taken if a respondent wishes to challenge an interim removal made by the University in cases of Title IX Sexual Harassment?,1
What entities are involved in the decision-making process for an emergency removal of a student respondent in cases of Title IX Sexual Harassment as outlined in the policy?,1
What actions can the University take in response to a report of Title IX Sexual Harassment involving a non-student employee?,1
What discretion does the University have regarding prohibiting third-party affiliates and guests from entering its campus and properties?,1
Does an interim removal during investigations constitute a finding of responsibility?,1
What actions are considered as Title IX Retaliation under the University's policy?,1
How does the University handle complaints of Title IX Retaliation and what potential disciplinary actions can be taken against individuals found in violation of the policy?,1
What is the purpose of Amnesty for Title IX Sexual Harassment parties and witnesses at Northwestern University?,1
How does Northwestern University aim to balance free expression and academic freedom with creating a safe environment for its community members?,1
What laws does Northwestern University policy state it will comply with concerning discrimination and harassment based on sex?,1
Under which circumstances does Title IX prohibit retaliation for asserting claims of sex discrimination at Northwestern University?,1
How does the Amnesty provision at Northwestern University apply to recognized student organizations or student groups reporting Title IX Sexual Harassment?,1
What is the role of the Title IX Coordinator at Northwestern University?,1
How can a complaint be filed with the Department of Education's Office for Civil Rights regarding a violation of Title IX?,1
What are some potential consequences for individuals found to be in violation of the university's policy?,1
What options do employees have to file a charge regarding alleged violations of Title VII?,1
What is the appeal process available after the Illinois Department of Human Rights completes an investigation?,1
What are some possible sanctions and corrective actions that Northwestern University may impose according to its policy?,1
"What does the term ""Remedies"" refer to in the context of Northwestern University's policy?",1
What are some examples of remedies that may be offered to Complainants who have experienced Title IX Sexual Harassment according to the policy?,1
What is the purpose of providing remedies to individuals who have experienced Title IX Sexual Harassment at Northwestern University?,1
What other related information and resources are mentioned in Northwestern University's policy documentation?,1
What is the history of the Northwestern University sexual assault policy? ,1
Who is responsible for handling reports alleging violations of the policy? ,1
What actions are expected of University groups and departments regarding Title IX Sexual Harassment concerns? ,1
How does the Northwestern University policy differentiate between current members of the community and visitors/former members regarding sexual harassment reports? ,1
In what manner are reports of Title IX Sexual Harassment supposed to be handled according to the policy?,1
What are the options available to parties in regard to reporting incidents to enforcement authorities and filing civil actions in court according to Northwestern University Policy?,1
What information is typically included in the outreach from the Office of Civil Rights and Title IX Compliance staff member to individuals impacted by a reported concern?,1
Under what circumstances can the Office of Civil Rights and Title IX Compliance at Northwestern University choose to reopen a case in the future?,1
"How does Northwestern University handle the offering and availability of Supportive Measures to both the Complainant and Respondent, regardless of whether a Formal Complaint is filed?",1
What is required for a Complainant to file a Formal Complaint with the Office of Civil Rights and Title IX Compliance under Northwestern University Policy?,1
What factors does the Office consider when determining whether to sign a Formal Complaint in Title IX cases?,1
Under what circumstances may the Title IX Coordinator sign a Formal Complaint on behalf of an anonymous or unwilling Complainant?,1
What risk factors are considered when deciding whether to proceed with an investigation without a Formal Complaint?,1
"In cases where Formal Complaints are consolidated, how does the University handle the parties involved in the investigation and adjudication process?",1
"What role does the Title IX Coordinator play when signing a Formal Complaint, and how does it differ from that of a Complainant in the investigative process?",1
What is the process for consolidating a Formal Complaint of Title IX Retaliation with a Formal Complaint of Title IX Sexual Harassment? ,1
How does the University handle the investigation of a Formal Complaint that involves allegations of Title IX Sexual Harassment and other conduct covered by University policies? ,1
What is involved in the initial inquiry conducted by the Office of Civil Rights and Title IX Compliance when a Complainant files a Formal Complaint? ,1
"Under what circumstances would the Office of Civil Rights and Title IX Compliance dismiss a Formal Complaint according to the Northwestern University Policy on Discrimination, Harassment, and Sexual Misconduct? ",1
"What option is available for resolving a matter that has passed the initial inquiry stage under the University's Interim Title IX Sexual Harassment policy or the Policy on Discrimination, Harassment, and Sexual Misconduct?",1
What is Alternative Resolution at Northwestern University? ,1
What are the conditions for parties to participate in Alternative Resolution for a Formal Complaint? ,1
What information is disclosed to parties interested in alternative resolution? ,1
Under what circumstances will records from the alternative resolution process not be shared with investigators? ,1
What are examples of resolution terms that may be included in Facilitated Agreements as part of alternative resolution?,1
What factors are considered when deciding to terminate an alternative resolution process at Northwestern University?,1
Who is responsible for assigning facilitators to specific matters in the alternative resolution process at Northwestern University?,1
What information must be included in the written notice provided by the Office of Civil Rights and Title IX Compliance to the parties involved in an investigation at Northwestern University?,1
What options are available to the parties involved if they choose not to participate in an alternative resolution process at Northwestern University?,1
What rights are granted to the parties involved in an investigation regarding evidence inspection and having an advisor at Northwestern University?,1
What are the circumstances under which Northwestern University may dismiss a Formal Complaint during the investigation or adjudication process?,1
Who is responsible for investigating Formal Complaints at Northwestern University?,1
How are investigators selected to handle Formal Complaint investigations at Northwestern University?,1
What role does evidence play in the investigation process for alleged misconduct at Northwestern University?,1
What options are available to the parties involved if a Formal Complaint is dismissed by the Title IX Coordinator at Northwestern University?,1
What opportunities are provided to the Complainant and Respondent during the investigation process at Northwestern University?,1
"How are interviews conducted during the formal investigation, and what options are available for recording or transcribing them?",1
What guidelines are in place regarding the recording of meetings that are not considered interviews during the investigation?,1
How are potential witnesses identified and selected for interviews in Northwestern University's policy?,1
What discretion do the investigator(s) have in determining the number of witness interviews conducted based on the information provided by the parties at Northwestern University?,1
What information should be provided to parties and witnesses before investigative interviews or meetings?,1
How does Northwestern University handle the timeline of investigations and what factors can affect the length of an investigation?,1
What steps does Northwestern University take to ensure both parties have equal opportunity to inspect and review evidence during an investigation?,1
"Can parties submit a written response regarding the evidence obtained in the investigation, and are there any limitations on the submission?",1
In what circumstances might the University need to temporarily delay its investigation during a simultaneous law enforcement investigation?,1
What are the restrictions regarding reviewing evidence in the grievance process according to Northwestern University's policy?,1
What is the purpose of the hearing according to Northwestern University's policy?,1
Who appoints the decision maker for the hearing process as per Northwestern University's policy?,1
What are the key components that must be included in a party's written response to the investigative report?,1
When can the pre-hearing conference and the hearing itself be scheduled based on Northwestern University's policy?,1
What must a party include in their written response to the investigation report according to Northwestern University Policy? ,1
How does the decision maker handle the pre-hearing conference format at Northwestern University?,1
What topics are typically discussed during a pre-hearing conference at Northwestern University based on the policy?,1
Who is responsible for transmitting notices of attendance to witnesses at the hearing according to Northwestern University Policy?,1
What accommodations can a party request regarding their advisor for the hearing at Northwestern University?,1
"What accommodations must managers, faculty members, coaches, and supervisors provide for individuals attending a hearing at Northwestern University?",1
Who will receive a notice of attendance for a hearing at Northwestern University?,1
How does the decision maker handle the participation of parties and witnesses during a hearing at Northwestern University?,1
What are the available formats for conducting a live hearing at Northwestern University?,1
What are the specific procedures followed during the live hearing format at Northwestern University?,1
What are the procedures for providing an advisor if a party does not have one present at the Northwestern University Policy hearing?,1
Who is allowed to be present during the hearing according to Northwestern University Policy?,1
What are the guidelines for questioning during the hearing according to Northwestern University Policy?,1
How does the decision maker determine the relevancy of questions asked during the Northwestern University Policy hearing?,1
What happens after the hearing is complete according to the Northwestern University Policy?,1
What evidence is considered during Northwestern University Policy investigations?,1
How are disputed facts resolved under the Northwestern University Policy?,1
Who determines sanctions for violating the Northwestern University Policy for student Respondents?,1
What is the role of the Title IX Coordinator in determining ongoing Supportive Measures under the Northwestern University Policy?,1
What information is included in the written determination regarding responsibility under the Northwestern University Policy?,1
What are the permissible bases for Complainant and Respondent to appeal according to the Northwestern University Policy?,1
Who is responsible for the effective implementation of any remedies in cases of Title IX violations under the Northwestern University Policy?,1
Within how many calendar days should a party file an appeal in response to a dismissal or hearing determination according to the Northwestern University Policy?,1
How are appeals handled in cases where sanctions have been imposed under the Northwestern University Policy?,1
Who are the designated reviewers for handling appeals against different categories of individuals under the Northwestern University Policy?,1
What is the process for conducting an appeal at Northwestern University under the specified policy?,1
"Who are the individuals or panels involved in the appeal process for student Respondents, staff Respondents, and faculty Respondents?",1
What role does the appeal reviewer play in consulting with University personnel regarding sanctions for the Respondent?,1
"How is the final decision regarding an appeal communicated to the parties involved, and within what timeframe does this typically occur?",1
What are the possible outcomes that the appeal reviewer can decide upon after reviewing an appeal case at Northwestern University?,1
"What rights do the Complainant and Respondent have regarding an advisor of their choice during the investigation, adjudication, and appeal process at Northwestern University?",1
"What role does an advisor play in the Northwestern University Policy, and what restrictions are placed on their communication and involvement in the process?",1
What is the requirement regarding a FERPA waiver for a Student Party's advisor before participating in any meetings or receiving documents under the Policy?,1
"Under what circumstances will the University provide an advisor to a party without fee or charge, specifically related to attending the live hearing?",1
"When can the University preclude an advisor from further participation in the process, and what options does the party have in such a situation?",1
What types of records are prohibited from being accessed or considered by investigators and adjudicators during Northwestern University's investigation and adjudication processes unless the party consents?,1
In what circumstances can a Complainant's sexual history be questioned during the investigation and adjudication processes at Northwestern University?,1
How are Respondents and Complainants presumed to be at the beginning of the resolution process at Northwestern University?,1
What actions are considered policy violations regarding bad faith complaints and false information at Northwestern University?,1
"What happens to violations related to bad faith complaints and false information under Northwestern University's policy, and how are they addressed?",1
What factors are considered as good cause for the modification of deadlines in Northwestern University's policy?,1
How can a party request an extension of a deadline according to the policy?,1
Who holds the authority to make decisions on granting requested deadline extensions at the University?,1
What is the default method of communication for all notices and forms of communication specified in the policy?,1
"How does Northwestern University ensure that parties receive timely notice of meetings, interviews, or hearings under the policy?",1
What are the confidentiality measures in place for individuals involved in a report or Formal Complaint of Title IX Sexual Harassment or Retaliation at Northwestern University?,1
Under what circumstances may the University reveal the identity of an individual or the contents of any record related to Title IX Sexual Harassment or Retaliation cases?,1
How does Northwestern University handle conflicts of interest and bias in cases related to Title IX Sexual Harassment or Retaliation?,1
What actions should a party take if they believe there is a material conflict of interest or bias with a University official involved in a Title IX case?,1
What types of Title IX Sexual Harassment are considered crimes that require the University to disclose crime statistics in its Annual Security Report?,1
What does the Title IX Coordinator or designee determine regarding conflicts of interest?,1
What standard of evidence does Northwestern University use in its hearing process?,1
What are Confidential Resources available for individuals regarding incidents of Title IX Sexual Harassment?,1
Does seeking advice from a Confidential Resource constitute making a report or complaint to the University?,1
"What is the role of CARE (Center for Awareness, Response & Education) at Northwestern University?",1
What reporting obligations do some staff and faculty members at Northwestern University have regarding information learned in their work outside of a confidential relationship?,1
How can CARE assist survivors through the University complaint resolution process?,1
What services does CAPS (Counseling and Psychological Services) provide for students at Northwestern University?,1
How does the Faculty Wellness Program at Northwestern University support faculty members with personal and professional concerns?,1
What confidential services does the Employee Assistance Program offer to faculty and staff at Northwestern University?,1
What services does the Center on Halsted provide for survivors of sexual assault and violence?,1
How can individuals contact in*power for LGBTQ survivor support services?,1
"What are the services offered by Resilience, formerly known as Rape Victim Advocates?",1
What support does YWCA-Evanston offer for survivors of dating/domestic violence?,1
How can individuals access free counseling for survivors of sexual and/or domestic violence through Greenlight Family Services?,1
What support services does Northwestern University offer for survivors of sexual and domestic violence?,1
"How does Northwestern University encourage individuals to seek medical attention following incidents of sexual assault, dating violence, domestic violence, or stalking?",1
What are the available medical services provided to survivors of interpersonal violence? ,1
In what ways do medical assistance providers at Northwestern University address the concerns of survivors regarding sexually transmitted infections and pregnancy?,1
How are confidentiality and privacy maintained for individuals seeking confidential medical assistance at Northwestern University?,1
What confidential resources are available at Northwestern University Health Service?,1
Where can evidence collection kits be obtained near the Evanston and Chicago campuses?,1
What are the services offered by Northwestern Memorial Hospital's Emergency Department?,1
Francis Hospital regarding evidence collection kits?,1
How does Illinois law mandate medical personnel to handle cases of potential criminal offenses like sexual assault or violence?,1
"What legal options are available to individuals who are victims of Sexual Assault, Dating Violence, Domestic Violence, or Stalking according to Northwestern University Policy? ",1
"How does Northwestern University encourage individuals to preserve evidence related to incidents of Sexual Assault, Dating Violence, Domestic Violence, or Stalking?",1
What actions can individuals take to preserve general physical evidence according to Northwestern University Policy?,1
"What role does law enforcement play in preserving evidence related to incidents of Sexual Assault, Dating Violence, Domestic Violence, or Stalking as per Northwestern University Policy?",1
